Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,veiled2,directreport2,sensitive2
2021/11/29 12:10:33 a. m. GMT-6,29,Mujer,Licenciatura,No,2,Si,Buena,Si,No,2,Si,5,3,4,Si,Si,No estoy de acuerdo,3,3,No
2021/11/29 12:10:36 a. m. GMT-6,29,Mujer,Licenciatura,No,2,Si,Buena,Si,No,2,Si,5,3,4,Si,Si,No estoy de acuerdo,3,3,No
2021/11/29 2:00:44 a. m. GMT-6,30,Hombre,Posgrado,No,1,No,Buena,Si,No,3,No,4,4,4,No,No,No estoy de acuerdo,3,3,Si
2021/11/29 6:42:00 a. m. GMT-6,38,Hombre,Posgrado,Si,1,No,Buena,Si,Si,3,Si,5,3,4,Si,No,Indiferente,4,1,No
2021/11/29 11:13:05 a. m. GMT-6,29,Hombre,Licenciatura,No,4 o mas,No,Buena,Si,Si,3,No,4,2,4,Si,No,Indiferente,1,2,Si
2021/11/29 1:33:15 p. m. GMT-6,28,Hombre,Licenciatura,Si,3,Si,Muy buena,Si,Si,3,No,4,2,4,Si,Si,No estoy de acuerdo,2,3,Si
2021/11/29 2:25:01 p. m. GMT-6,46,Hombre,Preparatoria,Si,4 o mas,Si,Buena,Si,No,2,No,5,1,1,No,No,Indiferente,2,3,No
2021/11/29 4:06:22 p. m. GMT-6,34,Hombre,Posgrado,No,0,No,Buena,Si,No,2,No,4,4,2,Si,Si,No estoy de acuerdo,4,3,Si
2021/11/29 4:58:40 p. m. GMT-6,35,Hombre,Licenciatura,Si,1,No,Buena,Si,No,2,No,4,4,5,Si,No,Indiferente,3,3,Si
2021/11/29 8:59:32 p. m. GMT-6,41,Hombre,Preparatoria,Si,1,No,Buena,Si,Si,3,No,4,4,3,No,Si,Indiferente,4,3,Si
2021/11/29 9:06:33 p. m. GMT-6,38,Hombre,Licenciatura,Si,1,No,Buena,Si,No,5,Si,5,5,5,Si,No,No estoy de acuerdo,5,2,Si
2021/11/30 8:30:33 a. m. GMT-6,36,Hombre,Posgrado,Si,0,No,Muy buena,Si,Si,1,No,4,3,1,Si,No,Estoy de acuerdo,3,4,No
2021/11/30 10:32:10 a. m. GMT-6,24,Mujer,Licenciatura,Si,3,No,Ni mala ni buena,Si,No,3,No,4,5,5,Si,Si,Indiferente,4,3,Si
2021/11/30 10:37:02 a. m. GMT-6,53,Mujer,Licenciatura,Si,4 o mas,No,Ni mala ni buena,Si,Si,2,No,4,2,2,No,No,No estoy de acuerdo,4,2,No
2021/11/30 10:38:50 a. m. GMT-6,23,Hombre,Licenciatura,Si,4 o mas,Si,Buena,Si,No,2,Si,4,3,3,Si,Si,Estoy de acuerdo,4,3,Si
2021/11/30 10:39:52 a. m. GMT-6,26,Hombre,Licenciatura,No,4 o mas,No,Buena,Si,No,3,No,5,4,4,Si,No,Indiferente,2,3,Si
2021/11/30 10:42:38 a. m. GMT-6,56,Hombre,Posgrado,Si,3,No,Buena,Si,No,2,No,5,4,4,No,No,Indiferente,5,4,No
2021/11/30 10:43:11 a. m. GMT-6,25,Hombre,Licenciatura,No,3,Si,Mala,Si,No,2,No,5,4,1,No,Si,Indiferente,1,3,No
2021/11/30 10:50:26 a. m. GMT-6,32,Hombre,Licenciatura,Si,1,No,Muy buena,Si,No,2,Si,3,3,1,No,Si,Estoy de acuerdo,4,3,Si
2021/11/30 10:50:27 a. m. GMT-6,26,Mujer,Licenciatura,No,4 o mas,No,Buena,Si,No,3,No,5,2,4,Si,No,Indiferente,5,0,Si
2021/11/30 10:51:40 a. m. GMT-6,29,Hombre,Licenciatura,No,1,Si,Buena,Si,No,2,No,4,2,2,No,Si,Indiferente,3,2,No
2021/11/30 10:52:41 a. m. GMT-6,24,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,Si,3,Si,5,5,5,No,Si,No estoy de acuerdo,2,3,No
2021/11/30 10:54:09 a. m. GMT-6,67,Hombre,Licenciatura,No,1,Si,Buena,Si,Si,3,No,4,4,4,Si,No,Indiferente,4,2,Si
2021/11/30 10:55:25 a. m. GMT-6,26,Hombre,Licenciatura,No,2,Si,Buena,Si,No,3,Si,4,3,5,No,No,No estoy de acuerdo,3,2,Si
2021/11/30 10:56:34 a. m. GMT-6,60,Hombre,Posgrado,No,1,No,Muy buena,Si,No,3,Si,5,4,3,No,Si,No estoy de acuerdo,4,2,No
2021/11/30 11:05:35 a. m. GMT-6,25,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,Si,4,Si,3,3,5,Si,No,Indiferente,3,3,Si
2021/11/30 11:06:22 a. m. GMT-6,50,Hombre,Posgrado,No,1,No,Buena,Si,No,2,Si,4,2,2,No,Si,No estoy de acuerdo,1,4,Si
2021/11/30 11:10:11 a. m. GMT-6,28,Hombre,Licenciatura,Si,4 o mas,No,Buena,No,Si,3,Si,3,2,2,Si,No,Indiferente,1,4,Si
2021/11/30 11:10:50 a. m. GMT-6,19,Mujer,Licenciatura,No,3,No,Muy buena,Si,No,3,No,5,5,5,No,No,Indiferente,4,3,Si
2021/11/30 11:12:29 a. m. GMT-6,32,Hombre,Licenciatura,Si,4 o mas,Si,Buena,Si,No,2,Si,4,3,5,No,Si,No estoy de acuerdo,4,3,Si
2021/11/30 11:13:34 a. m. GMT-6,25,Hombre,Licenciatura,Si,0,No,Ni mala ni buena,Si,No,3,Si,4,5,5,No,Si,Indiferente,4,2,No
2021/11/30 11:14:13 a. m. GMT-6,22,Hombre,Licenciatura,Si,3,No,Buena,Si,No,2,No,4,4,5,Si,No,Indiferente,3,3,Si
2021/11/30 11:14:23 a. m. GMT-6,41,Mujer,Secundaria,Si,4 o mas,Si,Buena,Si,No,5,Si,4,4,4,No,No,No estoy de acuerdo,2,2,No
2021/11/30 11:14:48 a. m. GMT-6,24,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,No,1,Si,5,3,4,Si,Si,No estoy de acuerdo,2,3,Si
2021/11/30 11:16:17 a. m. GMT-6,39,Mujer,Secundaria,Si,2,Si,Buena,Si,No,2,No,5,3,3,No,No,Indiferente,3,3,No
2021/11/30 11:21:38 a. m. GMT-6,28,Hombre,Preparatoria,Si,4 o mas,Si,Buena,Si,No,3,No,3,1,1,Si,No,Indiferente,2,3,Si
2021/11/30 11:23:40 a. m. GMT-6,32,Hombre,Preparatoria,Si,4 o mas,Si,Muy buena,Si,No,1,No,5,5,5,No,Si,Indiferente,1,3,Si
2021/11/30 11:24:18 a. m. GMT-6,19,Mujer,Preparatoria,No,3,No,Muy buena,Si,Si,2,No,5,4,3,Si,No,No estoy de acuerdo,3,3,No
2021/11/30 11:28:04 a. m. GMT-6,25,Hombre,Licenciatura,Si,3,No,Buena,Si,No,3,Si,5,4,4,Si,No,No estoy de acuerdo,2,2,Si
2021/11/30 11:31:57 a. m. GMT-6,31,Mujer,Posgrado,No,3,No,Muy buena,Si,Si,3,Si,2,2,3,Si,No,Indiferente,3,2,Si
2021/11/30 11:32:42 a. m. GMT-6,27,Hombre,Posgrado,No,2,No,Buena,Si,No,3,Si,5,4,4,Si,No,Estoy de acuerdo,4,4,No
2021/11/30 11:33:06 a. m. GMT-6,37,Mujer,Posgrado,Si,2,No,Buena,Si,Si,3,Si,4,3,2,Si,No,No estoy de acuerdo,2,4,Si
2021/11/30 11:35:04 a. m. GMT-6,32,Mujer,Licenciatura,No,3,No,Muy buena,Si,No,4,Si,5,1,3,Si,No,Estoy de acuerdo,5,3,No
2021/11/30 11:35:41 a. m. GMT-6,34,Mujer,Posgrado,No,2,No,Buena,Si,Si,3,Si,4,3,4,Si,Si,Estoy de acuerdo,2,3,Si
2021/11/30 11:36:22 a. m. GMT-6,27,Hombre,Licenciatura,Si,1,No,Muy buena,Si,No,4,No,4,2,2,Si,Si,Indiferente,3,2,No
2021/11/30 11:36:54 a. m. GMT-6,33,Mujer,Licenciatura,Si,0,No,Buena,Si,No,3,No,4,5,3,Si,No,No estoy de acuerdo,3,3,No
2021/11/30 11:37:36 a. m. GMT-6,34,Mujer,Licenciatura,No,1,No,Muy buena,Si,No,2,Si,5,5,5,Si,No,No estoy de acuerdo,3,3,No
2021/11/30 11:39:03 a. m. GMT-6,28,Mujer,Licenciatura,No,2,No,Muy buena,No me he vacunado,Si,2,No,4,2,4,No,No,Indiferente,2,2,No
2021/11/30 11:39:56 a. m. GMT-6,20,Mujer,Preparatoria,Si,4 o mas,No,Ni mala ni buena,Si,Si,3,No,2,4,4,No,No,Indiferente,5,3,No
2021/11/30 11:40:56 a. m. GMT-6,40,Mujer,Licenciatura,Si,2,No,Buena,Si,No,2,No,5,5,4,Si,Si,Estoy de acuerdo,3,2,No
2021/11/30 11:41:51 a. m. GMT-6,32,Hombre,Posgrado,Si,1,Si,Buena,Si,No,2,No,4,5,5,Si,Si,Estoy de acuerdo,5,3,Si
2021/11/30 11:42:15 a. m. GMT-6,25,Hombre,Preparatoria,Si,4 o mas,Si,Buena,No,No,4,No,5,4,4,Si,No,Indiferente,4,1,Si
2021/11/30 11:43:26 a. m. GMT-6,32,Mujer,Licenciatura,No,2,No,Buena,Si,Si,1,Si,3,5,5,Si,Si,Estoy de acuerdo,0,0,Si
2021/11/30 11:43:33 a. m. GMT-6,33,Mujer,Licenciatura,Si,2,No,Buena,Si,No,2,No,4,4,4,Si,No,Estoy de acuerdo,4,3,Si
2021/11/30 11:44:41 a. m. GMT-6,18,Mujer,Preparatoria,Si,4 o mas,No,Buena,Si,No,1,Si,5,3,5,Si,No,No estoy de acuerdo,4,2,No
